Title,Year,IMDB Rating,IMDB Votes,Genre,Box Office,IMDB ID
Coach Carter,2005,7.3,"173,672","Biography, Drama, Sport","$67,264,877",tt0393162
Racing Stripes,2005,5.2,"18,296","Adventure, Comedy, Drama","$49,772,522",tt0376105
Wallace & Gromit: The Curse of the Were-Rabbit,2005,7.5,"147,197","Animation, Adventure, Comedy","$56,110,897",tt0312004
A History of Violence,2005,7.4,"253,857","Action, Crime, Drama","$31,504,633",tt0399146
Transporter 2,2005,6.3,"216,576","Action, Crime, Thriller","$43,095,856",tt0388482
Are We There Yet?,2005,4.8,"34,723","Adventure, Comedy, Family","$82,674,398",tt0368578
Cursed,2005,5.0,"35,112","Comedy, Horror","$19,297,522",tt0257516
Valiant,2005,5.5,"24,529","Animation, Adventure, Comedy","$19,478,106",tt0361089
North Country,2005,7.3,"45,082",Drama,"$18,337,722",tt0395972
Two for the Money,2005,6.2,"48,966","Crime, Drama, Sport","$22,991,379",tt0417217
Guess Who,2005,5.9,"45,885","Comedy, Romance","$68,915,888",tt0372237
Sky High,2005,6.3,"95,433","Action, Comedy, Family","$63,946,815",tt0405325
Serenity,2005,7.8,"306,849","Action, Adventure, Sci-Fi","$25,514,517",tt0379786
Rent,2005,6.8,"56,061","Drama, Musical, Romance","$29,077,547",tt0294870
Get Rich or Die Tryin',2005,5.5,"50,413","Biography, Crime, Drama","$30,985,352",tt0430308
House of Wax,2005,5.5,"135,161","Horror, Thriller","$32,064,800",tt0397065
Corpse Bride,2005,7.4,"301,221","Animation, Comedy, Drama","$53,401,527",tt0121164
Sin City,2005,8.0,"796,178","Crime, Thriller","$74,103,820",tt0401792
Wedding Crashers,2005,7.0,"378,014","Comedy, Romance","$209,273,411",tt0396269
Lord of War,2005,7.6,"339,103","Crime, Drama","$24,149,632",tt0399295
Elektra,2005,4.7,"98,228","Action, Adventure, Crime","$24,409,722",tt0357277
The Skeleton Key,2005,6.5,"123,723","Drama, Horror, Mystery","$47,907,715",tt0397101
Monster-in-Law,2005,5.6,"65,981","Comedy, Romance","$82,931,301",tt0369735
Rebound,2005,5.1,"13,655","Comedy, Family, Sport","$16,809,014",tt0376108
The Producers,2005,6.3,"44,910","Comedy, Crime, Musical","$19,398,532",tt0395251
Unleashed,2005,7.0,"108,386","Action, Crime, Thriller","$24,537,621",tt0342258
Kicking & Screaming,2005,5.6,"41,029","Comedy, Family, Romance","$52,842,724",tt0384642
"Yours, Mine & Ours",2005,5.5,"30,430","Comedy, Family, Romance","$53,412,862",tt0443295
Four Brothers,2005,6.8,"158,299","Action, Crime, Drama","$74,494,381",tt0430105
Stay,2005,6.7,"86,493","Drama, Mystery, Thriller","$3,626,883",tt0371257
Domino,2005,5.9,"69,564","Action, Biography, Crime","$10,169,202",tt0421054
Oliver Twist,2005,6.8,"34,388","Crime, Drama","$2,080,321",tt0380599
Into the Blue,2005,5.9,"80,093","Action, Adventure, Crime","$18,801,234",tt0378109
Herbie Fully Loaded,2005,4.9,"51,142","Adventure, Comedy, Family","$66,023,816",tt0400497
The Adventures of Sharkboy and Lavagirl 3-D,2005,3.8,"42,863","Action, Adventure, Comedy","$39,177,684",tt0424774
Syriana,2005,6.9,"134,796","Drama, Thriller","$50,824,620",tt0365737
The Hitchhiker's Guide to the Galaxy,2005,6.7,"209,036","Adventure, Comedy, Sci-Fi","$51,085,416",tt0371724
The Dukes of Hazzard,2005,5.1,"82,237",Comedy,"$80,270,227",tt0377818
The Ring Two,2005,5.4,"101,457","Horror, Mystery","$76,231,249",tt0377109
Hostage,2005,6.5,"113,779","Action, Crime, Drama","$34,639,939",tt0340163
Be Cool,2005,5.6,"72,393","Comedy, Crime, Music","$56,046,979",tt0377471
Flightplan,2005,6.3,"172,908","Drama, Mystery, Thriller","$89,707,299",tt0408790
The Pacifier,2005,5.6,"101,363","Action, Comedy, Drama","$113,086,868",tt0395699
Elizabethtown,2005,6.3,"72,924","Comedy, Drama, Romance","$26,850,426",tt0368709
