IMDB ID,Title,Budget,Revenue,Year
tt2402101,Dark Places,"$20,000,000.00","$208,588.00",2015
tt3966404,Mustang,"$1,300,000.00","$250,000.00",2015
tt3882000,Microbe et Gasoil,$0.00,"$63,802.00",2015
tt3863552,Bajrangi Bhaijaan,"$14,000,000.00","$98,000,000.00",2015
tt4786638,Eli,$0.00,$0.00,2015
tt4328798,மாஸ் என்கிற மாசிலாமணி,$0.00,$0.00,2015
tt2140465,Tanu Weds Manu Returns,$0.00,$0.00,2015
tt1527837,Sweet Lorraine,$0.00,$0.00,2015
tt4530832,Road Wars,$0.00,$0.00,2015
tt3367686,Awaken,$0.00,$0.00,2015
tt3029476,Pressure,$0.00,$0.00,2015
tt2940482,American Justice,$0.00,$0.00,2015
tt3384870,Unknown Caller,$0.00,$0.00,2015
tt3317562,Leviathan: The Story of Hellraiser and Hellbound: Hellraiser II,$0.00,$0.00,2015
tt3137546,Legacy,$0.00,$0.00,2015
tt1663202,The Revenant,"$135,000,000.00","$532,950,503.00",2015
tt3715320,Irrational Man,"$11,000,000.00","$27,391,084.00",2015
tt3278330,Il racconto dei racconti,"$12,000,000.00",$0.00,2015
tt4840666,Looney Tunes: Rabbits Run,$0.00,$0.00,2015
tt4262142,Cleveland Abduction,$0.00,$0.00,2015
tt4329800,Carte Blanche,$0.00,$0.00,2015
tt4126304,Cartel Land,$0.00,$0.00,2015
tt2631186,Baahubali: The Beginning,"$40,000,000.00","$100,000,000.00",2015
tt4082466,Danielův svět,$0.00,$0.00,2015
tt2147521,Snow in Paradise,$0.00,$0.00,2015
tt4450170,"Return to the Philippines, the Leon Cooper Story",$0.00,$0.00,2015
tt3162938,The True Cost,$0.00,$0.00,2015
tt3411432,Ooops! Noah is Gone...,"$6,000,000.00",$0.00,2015
tt1798684,Southpaw,"$30,000,000.00","$91,709,827.00",2015
tt3397884,Sicario,"$30,000,000.00","$84,025,816.00",2015
tt4819458,The Bride He Bought Online,$0.00,$0.00,2015
tt2191765,Un moment d'égarement,$0.00,$0.00,2015
tt3779300,War Pigs,$0.00,$0.00,2015
tt2134170,10 Cent Pistol,$0.00,$0.00,2015
tt3149038,X+Y,$0.00,$0.00,2015
tt3518012,Best of Enemies,"$1,000,000.00",$0.00,2015
tt4060576,Lavalantula,$0.00,$0.00,2015
tt3292154,Sharktopus vs. Whalewolf,"$6,000,000.00",$0.00,2015
tt1754736,Chloe and Theo,$0.00,$0.00,2015
tt2358456,I Am Big Bird: The Caroll Spinney Story,$0.00,$0.00,2015
tt3430042,The Phoenix Project,$0.00,$0.00,2015
tt4604642,Eugene Mirman: Vegan on His Way to the Complain Store,$0.00,$0.00,2015
tt4184878,Smosh: The Movie,$0.00,$0.00,2015
tt3526706,Chevalier,$0.00,$0.00,2015
tt2401878,Anomalisa,"$8,000,000.00","$5,659,286.00",2015
tt4074958,有一个地方只有我们知道,$0.00,$0.00,2015
tt1929433,衝上雲霄,$0.00,$0.00,2015
tt1725986,Some Kind of Beautiful,$0.00,$0.00,2015
tt2949196,I-Lived,$0.00,$0.00,2015
tt2737926,Always Watching: A Marble Hornets Story,$0.00,$0.00,2015
tt1524575,The Vatican Tapes,"$13,000,000.00","$1,784,763.00",2015
tt2094034,Runoff,$0.00,$0.00,2015
tt2942196,Brothers of War,"$1,700,000.00",$0.00,2015
