Title,Year,IMDB Rating,IMDB Votes,Genre,Box Office,IMDB ID,Budget,Revenue
Night of the Living Dead 3D,2006,3.1,"3,896",Horror,"$271,000",tt0489244,"$3,000,000.00 ","$1,449,945.00 "
Mother of Tears,2007,5.0,"11,206","Drama, Horror, Thriller","$58,669",tt0804507,"$3,500,000.00 ","$54,947.00 "
Sukiyaki Western Django,2007,6.1,"15,881","Action, Western","$50,659",tt0906665,"$3,800,000.00 ","$2,725,258.00 "
The Edge of Heaven,2007,7.7,"33,451",Drama,"$742,349",tt0880502,"$3,800,000.00 ","$17,804,565.00 "
December Boys,2007,6.5,"12,419","Drama, Romance","$50,715",tt0465436,"$4,000,000.00 ","$46,474.00 "
Nobel Son,2007,6.1,"6,152","Comedy, Crime, Drama","$540,382",tt0483756,"$4,000,000.00 ","$333,912.00 "
Go Go Tales,2007,5.8,"1,528","Comedy, Drama",N/A,tt0393329,"$4,000,000.00 ","$907,456.00 "
You Kill Me,2007,6.4,"19,015","Comedy, Crime, Romance","$2,429,367",tt0796375,"$4,000,000.00 ","$2,426,851.00 "
Battle for Terra,2007,6.5,"12,232","Animation, Action, Adventure","$1,647,083",tt0858486,"$4,000,000.00 ","$6,101,046.00 "
Son of Rambow,2007,7.0,"33,034","Action, Adventure, Comedy","$1,785,505",tt0845046,"$4,000,000.00 ","$6,870,249.00 "
12,2007,7.6,"15,398","Crime, Drama, Thriller","$125,120",tt0488478,"$4,000,000.00 ","$7,537,453.00 "
Guru,2007,7.7,"25,081",Drama,"$2,096,000",tt0499375,"$4,700,000.00 ","$31,000,000.00 "
Meet Bill,2007,6.2,"21,051","Comedy, Drama","$62,597",tt0790623,"$5,000,000.00 ","$346,592.00 "
Redacted,2007,6.1,"11,278","Crime, Thriller, War","$65,388",tt0937237,"$5,000,000.00 ","$782,102.00 "
Antidur,2007,3.4,232,"Action, Comedy, Crime",N/A,tt1110037,"$5,000,000.00 ","$1,413,000.00 "
Mio fratello è figlio unico,2007,7.0,"6,774","Comedy, Crime, Drama","$255,620",tt0846040,"$5,000,000.00 ","$6,463,286.00 "
The Irony of Fate 2,2007,5.0,"3,829","Comedy, Romance",N/A,tt0987918,"$5,000,000.00 ","$55,635,037.00 "
Katyn,2007,7.0,"17,376","Drama, History, War","$118,095",tt0879843,"$5,200,000.00 ","$14,723,313.00 "
Korolyov,2007,5.0,97,"Biography, Drama",N/A,tt1107828,"$6,000,000.00 ","$31,000.00 "
Revenge,2007,5.9,"1,075","Action, Crime, Drama",N/A,tt0459759,"$6,000,000.00 ","$11,171,900.00 "
Daddy Day Camp,2007,3.2,"18,020","Comedy, Family","$13,235,267",tt0462244,"$6,000,000.00 ","$18,197,398.00 "
Juno,2007,7.4,"550,939","Comedy, Drama","$143,495,265",tt0467406,"$7,500,000.00 ","$231,411,584.00 "
Hallam Foe,2007,6.9,"13,177","Drama, Mystery, Romance","$60,641",tt0466816,"$8,000,000.00 ","$60,641.00 "
Brooklyn Rules,2007,6.3,"5,992","Crime, Drama","$458,232",tt0283503,"$8,000,000.00 ","$458,232.00 "
Battle in Seattle,2007,6.6,"15,209","Action, Drama, History","$224,169",tt0850253,"$8,000,000.00 ","$908,847.00 "
P2,2007,5.9,"36,615","Crime, Horror, Thriller","$3,995,018",tt0804516,"$8,000,000.00 ","$7,766,240.00 "
How About You,2007,6.6,"1,814","Comedy, Drama","$78,234",tt0887745,"$9,000,000.00 ","$706,000.00 "
Gracie,2007,6.2,"4,334","Biography, Drama, Sport","$2,956,339",tt0441007,"$9,000,000.00 ","$2,955,039.00 "
Sicko,2007,8.0,"76,929","Documentary, Drama","$24,540,079",tt0386032,"$9,000,000.00 ","$24,538,513.00 "
Om Shanti Om,2007,6.8,"50,145","Action, Comedy, Drama","$3,597,372",tt1024943,"$9,100,000.00 ","$37,707,444.00 "
In the Land of Women,2007,6.4,"32,718","Comedy, Drama, Romance","$11,052,958",tt0419843,"$10,000,000.00 ","$17,500,000.00 "
Reno 911!: Miami,2007,5.9,"28,059","Comedy, Crime","$20,342,161",tt0499554,"$10,000,000.00 ","$20,342,161.00 "
My Blueberry Nights,2007,6.6,"56,664","Drama, Romance","$867,275",tt0765120,"$10,000,000.00 ","$21,786,738.00 "
The Hitcher,2007,5.6,"45,446","Crime, Thriller","$16,472,961",tt0455960,"$10,000,000.00 ","$25,399,945.00 "
Daddy's Little Girls,2007,5.8,"8,339","Drama, Romance","$31,366,978",tt0778661,"$10,000,000.00 ","$31,609,243.00 "
Run Fatboy Run,2007,6.5,"69,929","Comedy, Romance, Sport","$6,003,262",tt0425413,"$10,000,000.00 ","$33,000,000.00 "
Saw IV,2007,5.9,"166,017","Horror, Mystery, Thriller","$63,300,095",tt0890870,"$10,000,000.00 ","$139,352,633.00 "
Hostel: Part II,2007,5.5,"96,355",Horror,"$17,609,452",tt0498353,"$10,200,000.00 ","$35,619,521.00 "
Shootout at Lokhandwala,2007,7.1,"10,937","Action, Crime, Drama","$289,232",tt0811066,"$11,000,000.00 ","$12,000,000.00 "
I Think I Love My Wife,2007,5.5,"17,593","Comedy, Drama, Romance","$12,550,605",tt0770772,"$11,000,000.00 ","$13,196,245.00 "
Whisper,2007,5.7,"10,089","Crime, Drama, Horror",N/A,tt0435528,"$12,000,000.00 ","$5,285,197.00 "
I Know Who Killed Me,2007,3.6,"30,935","Horror, Mystery, Thriller","$7,498,716",tt0897361,"$12,000,000.00 ","$9,620,399.00 "
Lars and the Real Girl,2007,7.3,"156,763","Comedy, Drama, Romance","$5,972,884",tt0805564,"$12,000,000.00 ","$11,293,663.00 "
Sivaji,2007,7.5,"21,484","Action, Crime, Drama",N/A,tt0479751,"$12,000,000.00 ","$19,000,000.00 "
Hot Fuzz,2007,7.8,"537,436","Action, Comedy, Mystery","$23,637,265",tt0425112,"$12,000,000.00 ","$80,573,774.00 "
Stomp the Yard,2007,5.4,"26,515","Drama, Music, Romance","$61,356,221",tt0775539,"$13,000,000.00 ","$75,511,123.00 "
The Diving Bell and the Butterfly,2007,8.0,"110,610","Biography, Drama","$6,003,227",tt0401383,"$14,000,000.00 ","$19,777,647.00 "
The Good Night,2007,5.7,"8,772","Comedy, Drama, Fantasy","$22,441",tt0484111,"$15,000,000.00 ","$20,380.00 "
Funny Games,2007,6.5,"104,325","Crime, Drama, Thriller","$1,294,919",tt0808279,"$15,000,000.00 ","$7,938,872.00 "
U2,2007,8.4,"2,922","Documentary, Music","$10,363,341",tt0892375,"$15,000,000.00 ","$22,730,842.00 "
The Great Debaters,2007,7.5,"63,149","Biography, Drama, Romance","$30,236,407",tt0427309,"$15,000,000.00 ","$30,226,144.00 "
Why Did I Get Married?,2007,5.9,"13,993","Comedy, Drama, Romance","$55,204,525",tt0906108,"$15,000,000.00 ","$55,184,721.00 "
Into the Wild,2007,8.1,"660,446","Adventure, Biography, Drama","$18,354,356",tt0758758,"$15,000,000.00 ","$56,255,142.00 "
28 Weeks Later,2007,6.9,"296,270","Horror, Sci-Fi","$28,638,916",tt0463854,"$15,000,000.00 ","$64,238,440.00 "
Halloween,2007,6.0,"131,027",Horror,"$58,272,029",tt0373883,"$15,000,000.00 ","$80,253,908.00 "
Earth,2007,7.9,"14,752",Documentary,"$32,011,576",tt0393597,"$15,000,000.00 ","$109,000,000.00 "
The Messengers,2007,5.3,"41,302","Drama, Horror, Mystery","$35,374,833",tt0425430,"$16,000,000.00 ","$1,109,660.00 "
Things We Lost in the Fire,2007,7.1,"29,853",Drama,"$3,287,315",tt0469623,"$16,000,000.00 ","$2,849,142.00 "
The Lookout,2007,7.0,"60,672","Crime, Drama, Thriller","$4,600,585",tt0427470,"$16,000,000.00 ","$5,367,030.00 "
A Mighty Heart,2007,6.6,"28,254","Biography, Drama, History","$9,176,787",tt0829459,"$16,000,000.00 ","$18,928,871.00 "
The Darjeeling Limited,2007,7.2,"217,967","Adventure, Comedy, Drama","$11,902,715",tt0838221,"$16,000,000.00 ","$24,377,151.00 "
Assembly,2007,7.3,"7,354","Action, Biography, Drama",N/A,tt0881200,"$16,000,000.00 ","$34,786,960.00 "
Sydney White,2007,6.2,"51,500","Comedy, Drama, Romance","$11,892,415",tt0815244,"$16,500,000.00 ","$13,620,075.00 "
Becoming Jane,2007,7.0,"65,389","Biography, Drama, Romance","$18,670,946",tt0416508,"$16,500,000.00 ","$37,311,672.00 "
Captivity,2007,4.6,"23,729","Crime, Horror, Mystery","$2,626,800",tt0374563,"$17,000,000.00 ","$2,626,800.00 "
Before the Devil Knows You're Dead,2007,7.3,"112,247","Crime, Drama, Thriller","$7,084,227",tt0292963,"$18,000,000.00 ","$25,005,257.00 "
Mongol: The Rise of Genghis Khan,2007,7.2,"49,349","Action, Biography, Drama","$5,705,761",tt0416044,"$18,000,000.00 ","$26,527,510.00 "
The Mist,2007,7.1,"344,136","Horror, Sci-Fi, Thriller","$25,594,957",tt0884328,"$18,000,000.00 ","$57,096,190.00 "
Gone Baby Gone,2007,7.6,"295,623","Crime, Drama, Mystery","$20,292,962",tt0452623,"$19,000,000.00 ","$34,619,699.00 "
Vacancy,2007,6.2,"108,106","Horror, Thriller","$19,363,565",tt0452702,"$19,000,000.00 ","$35,300,645.00 "
I'm Not There,2007,6.8,"61,350","Biography, Drama, Music","$4,017,609",tt0368794,"$20,000,000.00 ","$4,001,121.00 "
Flawless,2007,6.7,"26,480","Crime, Drama, Thriller","$1,200,234",tt0780516,"$20,000,000.00 ","$6,819,587.00 "
Death Defying Acts,2007,5.8,"10,524","Drama, History, Romance","$5,665",tt0472071,"$20,000,000.00 ","$8,380,329.00 "
Code Name: The Cleaner,2007,4.6,"12,203","Action, Comedy, Crime","$8,135,024",tt0462229,"$20,000,000.00 ","$10,337,477.00 "
Death Sentence,2007,6.7,"75,059","Action, Crime, Thriller","$9,534,258",tt0804461,"$20,000,000.00 ","$16,974,459.00 "
Dead Silence,2007,6.1,"102,535","Horror, Mystery, Thriller","$16,809,076",tt0455760,"$20,000,000.00 ","$22,217,407.00 "
Reign Over Me,2007,7.4,"99,788",Drama,"$19,661,987",tt0490204,"$20,000,000.00 ","$22,222,308.00 "
Mr. Brooks,2007,7.3,"156,975","Crime, Drama, Mystery","$28,549,298",tt0780571,"$20,000,000.00 ","$41,637,263.00 "
The Nanny Diaries,2007,6.2,"64,343","Comedy, Drama, Romance","$25,930,652",tt0489237,"$20,000,000.00 ","$47,738,099.00 "
The Kite Runner,2007,7.6,"82,724",Drama,"$15,800,078",tt0419887,"$20,000,000.00 ","$73,276,047.00 "
Premonition,2007,5.9,"81,930","Drama, Fantasy, Mystery","$47,852,604",tt0477071,"$20,000,000.00 ","$84,146,832.00 "
Epic Movie,2007,2.4,"109,786","Adventure, Comedy, Fantasy","$39,739,367",tt0799949,"$20,000,000.00 ","$86,865,564.00 "
Disturbia,2007,6.8,"256,373","Crime, Drama, Mystery","$80,209,692",tt0486822,"$20,000,000.00 ","$117,760,134.00 "
Superbad,2007,7.6,"637,202",Comedy,"$121,463,226",tt0829482,"$20,000,000.00 ","$121,463,226.00 "
Freedom Writers,2007,7.6,"85,830","Biography, Crime, Drama","$36,605,602",tt0463998,"$21,000,000.00 ","$41,170,784.00 "
We Own the Night,2007,6.8,"93,476","Action, Crime, Drama","$28,563,179",tt0498399,"$21,000,000.00 ","$54,926,886.00 "
Bobby Z,2007,5.8,"15,292","Action, Crime, Thriller",N/A,tt0473188,"$22,000,000.00 ","$413,454.00 "
The Game Plan,2007,6.4,"100,687","Comedy, Family, Sport","$90,648,202",tt0492956,"$22,000,000.00 ","$147,880,543.00 "
In the Valley of Elah,2007,7.2,"75,251","Crime, Drama, Mystery","$6,777,741",tt0478134,"$23,000,000.00 ","$29,541,790.00 "
I Could Never Be Your Woman,2007,6.0,"19,544","Comedy, Drama, Romance",N/A,tt0466839,"$24,000,000.00 ","$9,576,495.00 "
Hitman,2007,6.2,"178,432","Action, Crime, Thriller","$39,687,694",tt0465494,"$24,000,000.00 ","$99,965,753.00 "
Death Proof,2007,7.0,"315,177","Action, Drama, Thriller",N/A,tt1028528,"$25,000,000.00 ","$25,037,897.00 "
War,2007,6.2,"97,443","Action, Crime, Thriller","$22,486,409",tt0499556,"$25,000,000.00 ","$40,452,643.00 "
Good Luck Chuck,2007,5.6,"94,940","Comedy, Romance","$35,017,297",tt0452625,"$25,000,000.00 ","$59,192,128.00 "
August Rush,2007,7.4,"111,385","Drama, Music","$31,664,162",tt0426931,"$25,000,000.00 ","$66,122,026.00 "
Dan in Real Life,2007,6.8,"107,331","Comedy, Drama, Romance","$47,642,963",tt0480242,"$25,000,000.00 ","$68,377,859.00 "
There Will Be Blood,2007,8.2,"644,594",Drama,"$40,222,514",tt0469494,"$25,000,000.00 ","$77,208,711.00 "
Michael Clayton,2007,7.2,"174,557","Crime, Drama, Mystery","$49,033,882",tt0465538,"$25,000,000.00 ","$92,991,835.00 "
1408,2007,6.8,"295,664","Fantasy, Horror, Mystery","$71,985,628",tt0450385,"$25,000,000.00 ","$94,679,598.00 "
No Country for Old Men,2007,8.2,"1,068,450","Crime, Drama, Thriller","$74,283,625",tt0477348,"$25,000,000.00 ","$171,600,000.00 "
Mr. Bean's Holiday,2007,6.4,"134,612","Comedy, Family","$33,302,167",tt0453451,"$25,000,000.00 ","$229,736,344.00 "
Rendition,2007,6.8,"58,334","Drama, Thriller","$9,736,045",tt0804522,"$27,500,000.00 ","$24,748,670.00 "
No Reservations,2007,6.3,"79,246","Comedy, Drama, Romance","$43,107,979",tt0481141,"$28,000,000.00 ","$92,601,050.00 "
The Assassination of Jesse James by the Coward Robert Ford,2007,7.5,"193,750","Biography, Crime, Drama","$3,909,149",tt0443680,"$30,000,000.00 ","$14,711,793.00 "
88 Minutes,2007,5.9,"78,458","Crime, Drama, Mystery","$17,213,467",tt0411061,"$30,000,000.00 ","$16,930,884.00 "
The Invisible,2007,6.1,"36,630","Crime, Drama, Fantasy","$20,578,909",tt0435670,"$30,000,000.00 ","$26,810,113.00 "
30 Days of Night,2007,6.6,"190,074","Action, Horror, Thriller","$39,569,000",tt0389722,"$30,000,000.00 ","$75,505,973.00 "
The Number 23,2007,6.4,"213,521","Crime, Mystery, Thriller","$35,193,167",tt0481369,"$30,000,000.00 ","$77,566,815.00 "
Atonement,2007,7.8,"301,918","Drama, Mystery, Romance","$50,927,067",tt0783233,"$30,000,000.00 ","$129,266,061.00 "
P.S. I Love You,2007,7.0,"218,905","Comedy, Drama, Romance","$53,706,790",tt0431308,"$30,000,000.00 ","$156,835,339.00 "
Knocked Up,2007,6.9,"386,705","Comedy, Romance","$148,768,917",tt0478311,"$30,000,000.00 ","$219,076,518.00 "
TMNT,2007,6.2,"69,630","Animation, Action, Adventure","$54,149,098",tt0453556,"$34,000,000.00 ","$95,608,995.00 "
Walk Hard: The Dewey Cox Story,2007,6.8,"77,573","Comedy, Music","$18,317,151",tt0841046,"$35,000,000.00 ","$18,317,151.00 "
Lions for Lambs,2007,6.2,"52,859","Crime, Drama, Mystery","$15,002,854",tt0891527,"$35,000,000.00 ","$63,215,872.00 "
License to Wed,2007,5.3,"40,725","Comedy, Romance","$43,799,818",tt0762114,"$35,000,000.00 ","$69,307,224.00 "
Virgin Territory,2007,4.7,"8,805","Adventure, Comedy, Romance",N/A,tt0437954,"$38,000,000.00 ","$5,410,749.00 "
Shoot 'Em Up,2007,6.6,"155,504","Action, Comedy, Thriller","$12,807,139",tt0465602,"$39,000,000.00 ","$26,820,641.00 "
Aliens vs. Predator: Requiem,2007,4.6,"133,801","Action, Horror, Sci-Fi","$41,797,066",tt0758730,"$40,000,000.00 ","$41,797,066.00 "
The Reaping,2007,5.6,"44,760","Horror, Thriller","$25,126,214",tt0444682,"$40,000,000.00 ","$62,771,059.00 "
The Water Horse,2007,6.4,"43,139","Adventure, Family, Fantasy","$40,946,255",tt0760329,"$40,000,000.00 ","$103,071,443.00 "
Music and Lyrics,2007,6.5,"107,592","Comedy, Music, Romance","$50,572,589",tt0758766,"$40,000,000.00 ","$145,896,422.00 "
Love in the Time of Cholera,2007,6.4,"24,191","Drama, Romance","$4,607,608",tt0484740,"$45,000,000.00 ","$4,607,608.00 "
Pathfinder,2007,5.4,"46,376","Action, Adventure, Drama","$10,232,081",tt0446013,"$45,000,000.00 ","$30,822,861.00 "
Resident Evil: Extinction,2007,6.2,"206,616","Action, Horror, Sci-Fi","$50,648,679",tt0432021,"$45,000,000.00 ","$148,412,065.00 "
The Bucket List,2007,7.4,"261,143","Adventure, Comedy, Drama","$93,466,502",tt0825232,"$45,000,000.00 ","$175,372,502.00 "
Sunshine,2007,7.2,"268,944","Sci-Fi, Thriller","$3,675,753",tt0448134,"$50,000,000.00 ","$32,017,803.00 "
Hannibal Rising,2007,6.1,"116,361","Adventure, Crime, Drama","$27,670,986",tt0367959,"$50,000,000.00 ","$82,169,884.00 "
Hairspray,2007,6.7,"139,246","Comedy, Drama, Musical","$118,946,291",tt0427327,"$50,000,000.00 ","$90,450,008.00 "
Sweeney Todd: The Demon Barber of Fleet Street,2007,7.3,"387,921","Drama, Horror, Musical","$52,898,073",tt0408236,"$50,000,000.00 ","$152,000,000.00 "
Eastern Promises,2007,7.6,"263,129","Crime, Drama, Thriller","$17,266,000",tt0765443,"$51,500,000.00 ","$55,112,356.00 "
3:10 to Yuma,2007,7.6,"332,266","Action, Crime, Drama","$53,606,916",tt0381849,"$55,000,000.00 ","$70,016,220.00 "
Elizabeth: The Golden Age,2007,6.8,"75,340","Biography, Drama, History","$16,383,509",tt0414055,"$55,000,000.00 ","$74,237,563.00 "
Norbit,2007,4.2,"80,143","Comedy, Romance","$95,673,607",tt0477051,"$60,000,000.00 ","$95,673,607.00 "
The Heartbreak Kid,2007,5.8,"96,862","Comedy, Romance","$36,787,257",tt0408839,"$60,000,000.00 ","$127,766,650.00 "
Bridge to Terabithia,2007,7.2,"174,908","Drama, Family, Fantasy","$82,272,442",tt0398808,"$60,000,000.00 ","$137,587,063.00 "
Alvin and the Chipmunks,2007,5.2,"95,835","Adventure, Comedy, Family","$217,326,974",tt0952640,"$60,000,000.00 ","$361,366,633.00 "
Perfect Stranger,2007,5.7,"51,306","Crime, Mystery, Thriller","$23,984,949",tt0457433,"$60,795,000.00 ","$73,090,611.00 "
Shooter,2007,7.1,"358,015","Action, Drama, Thriller","$47,003,582",tt0822854,"$61,000,000.00 ","$95,696,996.00 "
Zodiac,2007,7.7,"604,700","Crime, Drama, Mystery","$33,080,084",tt0443706,"$65,000,000.00 ","$84,785,914.00 "
The Last Legion,2007,5.4,"37,195","Action, Adventure, History","$5,933,494",tt0462396,"$67,000,000.00 ","$25,303,038.00 "
Dragon Wars: D-War,2007,3.5,"25,427","Action, Drama, Fantasy","$10,977,721",tt0372873,"$70,000,000.00 ","$53,587,404.00 "
The Brave One,2007,6.7,"63,753","Action, Crime, Drama","$36,793,804",tt0476964,"$70,000,000.00 ","$69,766,619.00 "
Next,2007,6.2,"167,233","Action, Sci-Fi, Thriller","$18,211,013",tt0435705,"$70,000,000.00 ","$76,066,841.00 "
The Kingdom,2007,7.0,"132,598","Action, Drama, Thriller","$47,536,778",tt0431197,"$70,000,000.00 ","$86,658,558.00 "
Stardust,2007,7.6,"286,511","Adventure, Family, Fantasy","$38,634,938",tt0486655,"$70,000,000.00 ","$135,560,026.00 "
Beowulf,2007,6.3,"174,599","Animation, Action, Adventure","$82,280,579",tt0442933,"$70,000,000.00 ","$195,735,876.00 "
The Bourne Ultimatum,2007,8.0,"661,397","Action, Mystery, Thriller","$227,471,070",tt0440963,"$70,000,000.00 ","$442,824,138.00 "
Charlie Wilson's War,2007,7.0,"125,312","Biography, Comedy, Drama","$66,661,095",tt0472062,"$75,000,000.00 ","$119,000,410.00 "
The Simpsons Movie,2007,7.3,"351,232","Animation, Adventure, Comedy","$183,135,014",tt0462538,"$75,000,000.00 ","$527,068,851.00 "
The Invasion,2007,5.9,"83,072","Sci-Fi, Thriller","$15,074,191",tt0427392,"$80,000,000.00 ","$15,071,514.00 "
Surf's Up,2007,6.7,"91,714","Animation, Adventure, Comedy","$58,867,694",tt0423294,"$85,000,000.00 ","$149,044,513.00 "
I Now Pronounce You Chuck & Larry,2007,5.9,"154,638","Comedy, Romance","$120,059,556",tt0762107,"$85,000,000.00 ","$186,072,214.00 "
Ocean's Thirteen,2007,6.9,"369,347","Crime, Thriller","$117,154,724",tt0496806,"$85,000,000.00 ","$311,312,624.00 "
Enchanted,2007,7.1,"218,217","Animation, Adventure, Comedy","$127,807,262",tt0461770,"$85,000,000.00 ","$340,487,652.00 "
Awake,2007,6.5,"81,121","Crime, Drama, Mystery","$14,377,198",tt0211933,"$86,000,000.00 ","$14,373,825.00 "
Fred Claus,2007,5.7,"47,922","Comedy, Family, Fantasy","$72,006,777",tt0486583,"$100,000,000.00 ","$97,838,349.00 "
American Gangster,2007,7.8,"455,765","Biography, Crime, Drama","$130,164,645",tt0765429,"$100,000,000.00 ","$266,465,037.00 "
Ghost Rider,2007,5.3,"253,850","Action, Fantasy, Thriller","$115,802,596",tt0259324,"$110,000,000.00 ","$228,738,393.00 "
Live Free or Die Hard,2007,7.1,"422,270","Action, Thriller","$134,529,403",tt0337978,"$110,000,000.00 ","$383,531,464.00 "
Fantastic Four: Rise of the Silver Surfer,2007,5.6,"278,579","Action, Adventure, Fantasy","$131,921,738",tt0486576,"$130,000,000.00 ","$289,047,763.00 "
National Treasure: Book of Secrets,2007,6.5,"254,808","Action, Adventure, Mystery","$219,964,115",tt0465234,"$130,000,000.00 ","$457,363,168.00 "
Rush Hour 3,2007,6.2,"184,653","Action, Comedy, Crime","$140,125,968",tt0293564,"$140,000,000.00 ","$258,022,233.00 "
Meet the Robinsons,2007,6.8,"112,569","Animation, Adventure, Comedy","$97,822,171",tt0396555,"$150,000,000.00 ","$169,332,978.00 "
Bee Movie,2007,6.1,"181,469","Animation, Adventure, Comedy","$126,631,277",tt0389790,"$150,000,000.00 ","$287,594,577.00 "
I Am Legend,2007,7.2,"819,872","Action, Drama, Horror","$256,393,010",tt0480249,"$150,000,000.00 ","$585,349,010.00 "
Ratatouille,2007,8.1,"834,765","Animation, Adventure, Comedy","$206,445,654",tt0382932,"$150,000,000.00 ","$623,722,818.00 "
Transformers,2007,7.0,"679,541","Action, Adventure, Sci-Fi","$319,246,193",tt0418279,"$150,000,000.00 ","$709,709,780.00 "
Harry Potter and the Order of the Phoenix,2007,7.5,"639,266","Action, Adventure, Family","$292,382,727",tt0373889,"$150,000,000.00 ","$938,212,738.00 "
Shrek the Third,2007,6.1,"335,508","Animation, Adventure, Comedy","$322,719,944",tt0413267,"$160,000,000.00 ","$798,958,165.00 "
Evan Almighty,2007,5.4,"155,720","Comedy, Family, Fantasy","$100,462,298",tt0413099,"$175,000,000.00 ","$173,000,000.00 "
The Golden Compass,2007,6.1,"197,433","Adventure, Family, Fantasy","$70,107,728",tt0385752,"$180,000,000.00 ","$372,234,864.00 "
Spider-Man 3,2007,6.3,"643,253","Action, Adventure, Sci-Fi","$337,281,992",tt0413300,"$258,000,000.00 ","$890,871,626.00 "
Pirates of the Caribbean: At World's End,2007,7.1,"699,054","Action, Adventure, Fantasy","$309,420,425",tt0449088,"$300,000,000.00 ","$961,000,000.00 "
Bronson,2008,7.0,"141,537","Action, Crime, Drama","$104,979",tt1172570,"$230,000.00 ","$2,260,712.00 "
Plus One,2008,6.6,542,"Comedy, Romance",N/A,tt1224449,"$336,029.00 ","$927,277.00 "
Recep Ivedik,2008,4.9,"28,549",Comedy,N/A,tt1193516,"$500,000.00 ","$5,330,000.00 "
Fireproof,2008,6.4,"24,270","Drama, Romance","$33,456,317",tt1129423,"$500,000.00 ","$33,456,317.00 "
Aanrijding in Moscou,2008,7.2,"4,295","Comedy, Drama, Romance",N/A,tt0948530,"$560,000.00 ","$1,500,000.00 "
Phoonk,2008,4.0,"1,387","Drama, Horror, Mystery",N/A,tt1267500,"$750,000.00 ","$2,760,000.00 "
A Wednesday,2008,8.1,"82,558","Action, Crime, Drama",N/A,tt1280558,"$1,400,000.00 ","$3,500,000.00 "
Nirvana,2008,5.8,445,"Drama, Romance",N/A,tt1227165,"$2,000,000.00 ","$273,137.00 "
Waltz with Bashir,2008,8.0,"60,645","Documentary, Animation, Biography","$2,283,849",tt1185616,"$2,000,000.00 ","$11,125,849.00 "
Admiral,2008,6.7,"8,640","Biography, Drama, History",N/A,tt1101026,"$2,000,000.00 ","$38,135,878.00 "
Jaane Tu... Ya Jaane Na,2008,7.4,"28,353","Comedy, Drama, Romance","$604,037",tt0473367,"$2,300,000.00 ","$11,100,000.00 "
Bachna Ae Haseeno,2008,6.2,"12,594","Comedy, Drama, Romance","$702,166",tt1182972,"$2,400,000.00 ","$9,600,000.00 "
Sleep Dealer,2008,6.0,"6,655","Drama, Romance, Sci-Fi","$80,136",tt0804529,"$2,500,000.00 ","$107,559.00 "
Choke,2008,6.4,"33,703","Comedy, Drama","$2,926,565",tt1024715,"$3,000,000.00 ","$3,830,137.00 "
Gitler kaput!,2008,3.0,"2,227","Action, Adventure, Comedy",N/A,tt1124396,"$3,000,000.00 ","$9,713,500.00 "
Vaaranam Aayiram,2008,8.2,"14,304","Action, Drama, Musical",N/A,tt1180583,"$3,000,000.00 ","$14,000,000.00 "
Lyubov 2 Morkov,2008,4.8,763,"Comedy, Fantasy",N/A,tt1414840,"$3,000,000.00 ","$17,850,711.00 "
Tarif Novogodniy,2008,6.2,792,"Comedy, Fantasy, Romance",N/A,tt1373243,"$3,200,000.00 ","$3,877,492.00 "
Surveillance,2008,6.3,"18,398","Crime, Drama, Mystery","$27,349",tt0409345,"$3,500,000.00 ","$1,115,493.00 "
Justice League: The New Frontier,2008,7.0,"18,801","Animation, Action, Adventure, Fantasy, Sci-Fi",N/A,tt0902272,"$3,500,000.00 ","$5,231,128.00 "
Expelled: No Intelligence Allowed,2008,3.7,"12,176",Documentary,"$7,720,487",tt1091617,"$3,500,000.00 ","$7,700,000.00 "
Morphine,2008,7.2,"3,910",Drama,N/A,tt1186366,"$3,600,000.00 ","$766,075.00 "
Winter in Wartime,2008,7.0,"13,507","Drama, History, War","$543,100",tt0795441,"$4,000,000.00 ","$530,048.00 "
Let the Right One In,2008,7.8,"227,877","Drama, Fantasy, Horror","$2,122,065",tt1139797,"$4,000,000.00 ","$10,785,801.00 "
Kismat Konnection,2008,5.3,"5,988","Comedy, Drama, Romance","$490,154",tt1105733,"$4,180,000.00 ","$11,000,000.00 "
"War, Inc.",2008,5.5,"22,573","Action, Comedy, Thriller","$580,862",tt0884224,"$5,000,000.00 ","$1,296,184.00 "
Bottle Shock,2008,6.8,"18,080","Comedy, Drama","$4,078,607",tt0914797,"$5,000,000.00 ","$4,040,588.00 "
Sunshine Cleaning,2008,6.8,"74,332","Comedy, Drama","$12,062,558",tt0862846,"$5,000,000.00 ","$16,174,377.00 "
Tutta la vita davanti,2008,6.9,"3,315","Comedy, Drama, Romance",N/A,tt1075114,"$5,940,000.00 ","$4,250,000.00 "
"Surfer, Dude",2008,4.6,"9,162",Comedy,"$52,132",tt0976247,"$6,000,000.00 ","$69,497.00 "
JCVD,2008,7.0,"40,413","Action, Comedy, Crime","$470,691",tt1130988,"$6,000,000.00 ","$276,891.00 "
While She Was Out,2008,4.8,"7,232","Crime, Drama, Thriller",N/A,tt0887971,"$6,000,000.00 ","$391,410.00 "
Julia,2008,7.0,"6,984","Crime, Drama, Thriller","$65,108",tt0903627,"$6,000,000.00 ","$1,300,000.00 "
The Wackness,2008,6.9,"31,299","Comedy, Drama, Romance","$2,077,116",tt1082886,"$6,000,000.00 ","$2,899,975.00 "
The Wrestler,2008,7.9,"320,860","Drama, Sport","$26,238,243",tt1125849,"$6,000,000.00 ","$44,703,995.00 "
